term	hit	frequencies	tf_idf
trainee anatomical pathology	0.5	3	0.151622174
21 countries world	0	3	0.151593976
64 000 people	0	3	0.151593976
companies employs 64	0	3	0.151593976
employs 64 000	0	3	0.151593976
switching firewalls security	0.5	3	0.151495063
devops platform engineer	0.5	3	0.151463388
area sales manager	0.5	3	0.151333942
developer react vp	0.5	3	0.151275753
html5 developer react	0.5	3	0.151275753
javascript html5 developer	0.5	3	0.151275753
clinical applications post	0.5	3	0.151200912
user research digital	0	3	0.151056675
science systems engineering	0.5	3	0.150890414
global fortune 500	0	3	0.150856197
client sites country	0	3	0.150750472
experience field work	0	3	0.150750472
available happily let	0	3	0.150675908
career maybe degree	0	3	0.150675908
city guilds want	0	3	0.150675908
clients job types	0	3	0.150675908
completed degree course	0	3	0.150675908
course opportunities available	0	3	0.150675908
degree computing information	0	3	0.150675908
degree course opportunities	0	3	0.150675908
diploma level ecdl	0	3	0.150675908
ecdl icdl city	0.5	3	0.150675908
guilds want skills	0	3	0.150675908
happily let know	0	3	0.150675908
icdl city guilds	0	3	0.150675908
information systems maybe	0.5	3	0.150675908
know suitable sit	0	3	0.150675908
level ecdl icdl	0.5	3	0.150675908
maybe completed degree	0	3	0.150675908
maybe degree computing	0	3	0.150675908
opportunities available happily	0	3	0.150675908
opportunity clients job	0	3	0.150675908
permanent qualification diploma	0	3	0.150675908
right opportunity clients	0	3	0.150675908
sit technical test	0	3	0.150675908
skills work wondering	0	3	0.150675908
suitable career maybe	0	3	0.150675908
suitable sit technical	0	3	0.150675908
systems maybe completed	0	3	0.150675908
talk right opportunity	0	3	0.150675908
technical test talk	0	3	0.150675908
test talk right	0	3	0.150675908
want skills work	0	3	0.150675908
wondering suitable career	0	3	0.150675908
work wondering suitable	0	3	0.150675908
year permanent qualification	0	3	0.150675908
vehicle paint technician	1	3	0.150494632
cloud infrastructure consultant	1	3	0.150493844
senior integration developer	1	3	0.150288998
ote 40 000	0	3	0.150117253
electrical maintenance engineer	1	3	0.150063705
ruby rails developer	1	3	0.150063669
financial systems analyst	1	3	0.150057406
tom widdop g2	0	3	0.149926726
widdop g2 legal	0	3	0.149926726
real time performance	0.5	3	0.149875335
principal qa engineer	1	3	0.149723244
cheshire nhs trust	0	3	0.149625958
east cheshire nhs	0	3	0.149625958
experienced architectural technician	1	3	0.149575792
new build housing	0	3	0.149575792
net web application	0.5	3	0.149344951
senior asp net	0.5	3	0.149344951
senior content writer	0.5	3	0.149177533
benefits job types	0	3	0.14880657
driven practice manager	0	3	0.14880657
dynamic driven practice	0	3	0.14880657
hands manager exceptional	0	3	0.14880657
management practice including	0	3	0.14880657
overall management practice	0	3	0.14880657
personnel management administration	0.5	3	0.14880657
seeking dynamic driven	0	3	0.14880657
seeking hands manager	0	3	0.14880657
linux windows scripting	1	3	0.148781901
ip senior associate	0	3	0.148711482
senior associate role	0	3	0.148711482
engineer manchester 40	0	3	0.148545757
03 2019 59	0	3	0.148527652
experience object handling	0.5	3	0.148513305
object handling packing	1	3	0.148513305
operate manual handling	0	3	0.148513305
agile tdd ci	0.5	3	0.148438806
infrastructure proven experience	0	3	0.1481199
time attendance systems	1	3	0.1481199
infrastructure networks applications	0.5	3	0.148117348
midlands commutable birmingham	0	3	0.148117348
west midlands commutable	0	3	0.148117348
pa pro rata	0	3	0.14798936
service role flexible	0	3	0.147931809
time time based	0	3	0.147931809
account manager software	0.5	3	0.147718951
major account manager	0.5	3	0.147718951
contact terry withers	0	3	0.147617891
details 100 day	0	3	0.147611551
initial duration months	0	3	0.147611551
months starting asap	0	3	0.147611551
rate details 100	0	3	0.147611551
salesforce crm database	1	3	0.147591288
support engineer service	0.5	3	0.147444803
procurement manager join	0.5	3	0.147440719
procurement procurement manager	0	3	0.147440719
background working financial	0.5	3	0.147058113
commercial solicitor role	0.5	3	0.146963148
contract life cycle	0.5	3	0.146831485
services organisations exposure	0	3	0.14680813
information request job	0	3	0.146780694
team candidate responsible	0	3	0.146529695
data warehouse sql	0.5	3	0.146422389
london 18 000	0	3	0.146403506
continued expansion require	0	3	0.146339412
operating systems local	0.5	3	0.146339412
support server desktop	0.5	3	0.146339412
experience working architectural	0	3	0.146297076
technical product owner	1	3	0.146295047
trinity multi academy	0	3	0.145691979
government industry academia	0	3	0.145581501
rd line infrastructure	0	3	0.145207773
architectural technician technologist	0.5	3	0.144990738
functional projects improvements	0	3	0.144924054
regarding day day	0	3	0.144924054
provided mobile uniform	0	3	0.144544479
van provided mobile	0	3	0.144544479
customer service partnership	0.5	3	0.144448627
account executive depending	0	3	0.144246077
executive depending experience	0	3	0.144246077
21 074 23	0	3	0.144233895
350 380 day	0	3	0.144187809
css bootstrap javascript	0.5	3	0.14405078
javascript jquery html5	0.5	3	0.14405078
quality data governance	1	3	0.144049653
service providers service	0	3	0.143983032
web developer end	0.5	3	0.143962929
business requirements strategic	0.5	3	0.143850848
current projects working	0	3	0.143850848
help support maintenance	0	3	0.143850848
maintenance support tasks	0	3	0.143850848
project development delivery	0	3	0.143850848
projects working specific	0	3	0.143850848
require support analyst	0	3	0.143850848
role play integral	0	3	0.143850848
experience required windows	0	3	0.143848914
support specialist support	0	3	0.143848914
gayle woolf 01273	0	3	0.14378318
woolf 01273 289000	0	3	0.14378318
process runs smoothly	0	3	0.143647457
customer service agent	1	3	0.143513385
westcon products services	0	3	0.14345
2019 job information	0	3	0.143198219
highly successful department	0	3	0.143198219
required join highly	0	3	0.143198219
experience managing building	0	3	0.143050413
design engineer electronic	0.5	3	0.142913189
design high speed	0	3	0.142913189
design image sensors	1	3	0.142913189
digital fpga vhdl	0.5	3	0.142913189
electronic engineer hardware	0.5	3	0.142913189
engineer electronic engineer	0	3	0.142913189
engineer hardware design	0.5	3	0.142913189
fpga vhdl verilog	0.5	3	0.142913189
hardware design high	0	3	0.142913189
image sensors optics	0.5	3	0.142913189
optics hardware development	0.5	3	0.142913189
rf design image	0.5	3	0.142913189
sensors optics hardware	0.5	3	0.142913189
speed digital fpga	0	3	0.142913189
verilog rf design	0.5	3	0.142913189
vhdl verilog rf	0.5	3	0.142913189
high wycombe contract	0	3	0.142716697
10 12 hour	0	3	0.142609433
global market intelligence	1	3	0.14259771
quantity surveying civil	0	3	0.142533355
surveying civil engineering	0.5	3	0.142533355
26 470 year	0	3	0.142338513
470 year permanent	0	3	0.142338513
installation service repair	0	3	0.142235812
inbound sales executive	0	3	0.142126703
security engineer role	0.5	3	0.142093865
business transformation lead	0.5	3	0.142090156
repair extreme environments	0.5	3	0.142020432
50 130k pa	0	3	0.141769779
day rate 500	0	3	0.141658354
west midlands police	0	3	0.141408799
org uk careers	0	3	0.141380898
regular travel trust	0	3	0.141380898
uk careers job	0	3	0.141380898
mobile phone repair	1	3	0.141331935
mobile phone technician	1	3	0.141331935
phone repair technicians	1	3	0.141331935
phone technician roles	0.5	3	0.141331935
lead scrum master	1	3	0.141233507
attitude aptitude character	0	3	0.141176243
ggc scot nhs	0	3	0.141117194
policies standards exception	0	3	0.141113177
standards exception management	0.5	3	0.141113177
junior devops engineer	1	3	0.141109807
engineer 11 14	0	3	0.141057856
ambitious support analyst	0.5	3	0.141052583
warwick haywood road	0	3	0.141034669
maintaining relationship ap	0	3	0.140855896
managing maintaining relationship	0.5	3	0.140855896
commercial property solicitor	1	3	0.140794307
140 150 day	0	3	0.140781191
services security solutions	0.5	3	0.140577931
design lans wans	1	3	0.140487372
lans wans vpns	0.5	3	0.140487372
public sector network	1	3	0.140487372
vpns virtual networks	1	3	0.140487372
wans vpns virtual	0.5	3	0.140487372
hardware software testing	1	3	0.14045547
teach ks3 ks4	0.5	3	0.140403735
data science statistical	0.5	3	0.140388463
technology media telecommunications	0.5	3	0.140372462
immediate start right	0	3	0.140340852
right candidate salary	0	3	0.140340852
work 8am 30pm	0	3	0.140340852
fast growing fintech	0	3	0.140162243
annum contract permanent	0	3	0.140124454
week salary grade	0	3	0.140124454
global travel company	0	3	0.140053023
00 19 30	0	3	0.140030878
hospitals derby burton	0	3	0.139852557
prior experience support	0	3	0.139506658
80 90 000	0	3	0.139478674
bonus 100k package	0	3	0.139478674
contact tom widdop	0	3	0.139464709
111 year permanent	0	3	0.139386421
closing date 13	0	3	0.139386421
public affairs advocacy	0	3	0.139351318
description leidos fortune	0	3	0.139344434
help desk manager	1	3	0.139253768
thursday april 2019	0	3	0.139172971
type time year	0	3	0.139172971
business development candidate	0.5	3	0.139104459
motivated driven success	0	3	0.139104459
opportunity hard working	0	3	0.139104459
term career recruitment	0	3	0.139104459
employees apply today	0	3	0.139076898
software engineer python	0.5	3	0.139063957
life cycle implementation	0.5	3	0.138789194
09 00 15	0	3	0.138691855
java j2ee spring	0.5	3	0.138606988
join team previous	0	3	0.138466122
working legal sector	0.5	3	0.138466122
senior product development	0.5	3	0.138427874
focused team based	0	3	0.138379794
locations post holder	0	3	0.138379794
specialist team responsible	0	3	0.138379794
team liaise internal	0	3	0.138379794
active directory corporate	0.5	3	0.138230076
answering phones ticket	0.5	3	0.138230076
apply contact sacha	0	3	0.138230076
communcation skills years	0.5	3	0.138230076
contact sacha musgrove	0	3	0.138230076
corporate messaging outlook	0.5	3	0.138230076
device support active	0	3	0.138230076
directory corporate messaging	0.5	3	0.138230076
excellent communcation skills	1	3	0.138230076
exchange necessary experience	0	3	0.138230076
experience answering phones	0.5	3	0.138230076
good knowledge 1st	0	3	0.138230076
helpdesk experience answering	0.5	3	0.138230076
knowledge 1st 2nd	0	3	0.138230076
messaging outlook exchange	0.5	3	0.138230076
microsoft sccm helpdesk	0.5	3	0.138230076
musgrove lafosse com	0	3	0.138230076
outlook exchange necessary	0	3	0.138230076
pcs windows microsoft	0.5	3	0.138230076
phones ticket logging	0.5	3	0.138230076
preferably law firm	0	3	0.138230076
sacha musgrove lafosse	0	3	0.138230076
sccm helpdesk experience	0.5	3	0.138230076
stack key skills	0	3	0.138230076
technical support stack	0	3	0.138230076
windows microsoft sccm	0.5	3	0.138230076
net javascript sql	0.5	3	0.138223884
defined project plan	0.5	3	0.138206347
testing work stream	0	3	0.138206347
design wireframing prototyping	0.5	3	0.13813921
digital agile workshop	0	3	0.13813921
experience design wireframing	0.5	3	0.13813921
prototyping user research	0.5	3	0.13813921
research digital agile	0.5	3	0.13813921
wireframing prototyping user	0.5	3	0.13813921
analyse business rules	1	3	0.138132987
analysis skills manager	0.5	3	0.138132987
articulate ability liaise	0	3	0.138132987
business rules coded	0	3	0.138132987
coded sql provide	0	3	0.138132987
confidently users management	0	3	0.138132987
day client requires	0	3	0.138132987
director ability read	0	3	0.138132987
documentation need highly	0	3	0.138132987
experienced manager director	0	3	0.138132987
good analysis skills	1	3	0.138132987
highly articulate ability	0	3	0.138132987
liaise confidently users	0	3	0.138132987
management team manager	0	3	0.138132987
manager director ability	0	3	0.138132987
quality documentation need	0	3	0.138132987
read understand sql	1	3	0.138132987
requires experienced manager	0	3	0.138132987
rules coded sql	0.5	3	0.138132987
skills good analysis	0.5	3	0.138132987
skills manager director	0.5	3	0.138132987
sql order analyse	0	3	0.138132987
sql provide high	0	3	0.138132987
understand sql order	0.5	3	0.138132987
users management team	0	3	0.138132987
leading ecommerce business	0	3	0.138032827
technical support research	0.5	3	0.137925133
service delivery projects	0.5	3	0.137801768
agile methodologies including	0.5	3	0.137790015
audit support internal	0.5	3	0.137705862
30 18 30	0	3	0.137690404
sell company products	0	3	0.137647025
function information security	0	3	0.137615754
universal key manager	0	3	0.13760377
100 140 day	0	3	0.137586396
10 device management	0	3	0.13757344
365 azure active	0.5	3	0.13757344
business sharepoint skype	0.5	3	0.13757344
company financial sector	0.5	3	0.13757344
device management office	0.5	3	0.13757344
intune onedrive business	0.5	3	0.13757344
onedrive business sharepoint	0.5	3	0.13757344
windows 10 device	0.5	3	0.13757344
private sector housing	1	3	0.137385991
gloucestershire 45 000	0	3	0.137364934
cissp cism iisp	0.5	3	0.137129652
contract support officer	0	3	0.137097719
officer contract support	0	3	0.137097719
driver sales assistant	0	3	0.137016682
trade driver sales	0	3	0.137016682
hyper vmware citrix	0.5	3	0.13697045
cloud services team	0.5	3	0.136961597
infrastructure cloud services	1	3	0.136961597
24 000 basic	0	3	0.136941813
strategically selling services	0	3	0.13687451
digital media manager	1	3	0.136869548
business data analyst	1	3	0.136618695
assisting senior engineer	0.5	3	0.136545981
support worker required	0	3	0.136334867
temporary experience support	0	3	0.136334867
windows pc hardware	0.5	3	0.136334867
account executive account	0	3	0.13628039
experienced senior account	0	3	0.13628039
nodejs reactjs angular	0.5	3	0.136199611
journey transformation programme	0	3	0.13616948
student journey transformation	0	3	0.13616948
bi cyber 700	0	3	0.136162486
cyber 700 800	0	3	0.136162486
power bi cyber	0.5	3	0.136162486
senior level professional	0	3	0.136135996
support supervision colleagues	0.5	3	0.135909679
busy expanding team	0	3	0.135872369
looking senior support	0	3	0.135872369
delivery support officer	0	3	0.135784372
specialist legal recruitment	0	3	0.13576313
0161 414 1100	0	3	0.135572172
thomas stevens searchability	0	3	0.135562037
experience join busy	0	3	0.135542194
face face appointments	0	3	0.135542194
audio music technology	1	3	0.135500852
mobile facilities manager	1	3	0.135491033
applications especially excel	0.5	3	0.135480595
microsoft applications especially	0.5	3	0.135480595
support consultant role	0.5	3	0.135469922
experience required basic	0	3	0.135398039
network support site	0	3	0.135398039
remote support network	0	3	0.135398039
software support field	0.5	3	0.135398039
nordbo nigelfrank com	0	3	0.135374636
bonus scheme details	0	3	0.135316547
scheme details provided	0	3	0.135316547
windows infrastructure engineer	1	3	0.135294995
linux oracle database	0.5	3	0.135271953
17 007 17	0	3	0.135095488
financial services agency	0.5	3	0.134839105
winner banking financial	0	3	0.134839105
skills development coach	0	3	0.134801241
12 months 500	0	3	0.134753939
000 45 hour	0	3	0.134548657
equivalent professional knowledge	0	3	0.134514456
industry standards leading	0	3	0.134514456
specialist engineering services	0	3	0.134514456
technology equivalent professional	0	3	0.134514456
administration schedule ft	0	3	0.134430338
category systems administration	0	3	0.134430338
systems administration schedule	0	3	0.134430338
implement agreed changes	0	3	0.134340413
user experience team	0	3	0.134340285
service provider service	0	3	0.134254627
home treatment team	0	3	0.13419657
environment good experience	0	3	0.134134178
microsoft technologies office	0.5	3	0.134121614
project manager services	0.5	3	0.134121614
considered role job	0	3	0.134121447
blue cube security	0	3	0.134112158
delivering information systems	1	3	0.134092615
hardware including printers	0.5	3	0.133889725
supplier development engineer	0	3	0.133839542
harris academy tottenham	0	3	0.133782504
south western ambulance	0	3	0.133772691
500 annum company	0	3	0.133482031
contract management team	0	3	0.133315495
steven williams searchability	0	3	0.133264578
williams searchability uk	0	3	0.133264578
day contract deployment	0	3	0.133239598
client based outside	0	3	0.133136729
work good eye	0	3	0.133136729
mi management information	0.5	3	0.133127608
enthusiastic punctual conscious	0.5	3	0.133020776
help improve practices	0	3	0.133020776
initiative enthusiastic punctual	0.5	3	0.133020776
report help improve	0	3	0.133020776
process mapping activities	0.5	3	0.132926255
field sales professional	0	3	0.132875748
section 106 agreements	0	3	0.132864221
support vendor manager	0	3	0.132829519
work vendor manager	0	3	0.132829519
cyber resilience design	0.5	3	0.132802832
cyber resilience manager	0.5	3	0.132802832
resourcer delivery consultant	0.5	3	0.132735899
level programme need	0	3	0.132671795
check team leader	0	3	0.132556981
backend web development	1	3	0.132439257
process business improvement	1	3	0.132435538
sophos office 365	0.5	3	0.132372411
support effective operation	0	3	0.132343362
dss iso 27001	0.5	3	0.13198802
pci dss iso	0.5	3	0.13198802
project manager change	0.5	3	0.131979547
problem solve ensure	0.5	3	0.13197192
administrator rapidly growing	0	3	0.131860487
appoint new hr	0	3	0.131860487
area presently seeking	0	3	0.131860487
belfast area presently	0	3	0.131860487
delighted partnering multi	0	3	0.131860487
growing hr team	0	3	0.131860487
new hr quality	0	3	0.131860487
partnering multi award	0	3	0.131860487
presently seeking appoint	0	3	0.131860487
quality administrator rapidly	0	3	0.131860487
rapidly growing hr	0	3	0.131860487
vanrath delighted partnering	0	3	0.131860487
winning technology organisation	0	3	0.131860487
0191 338 7666	0	3	0.131824073
clark nigelfrank com	0	3	0.131824073
trade logistics manufacturing	0	3	0.131824073
solutions architect cloud	0.5	3	0.131791
thriving international company	0	3	0.131722304
line support identify	0	3	0.131674465
role knowledge windows	0	3	0.131674465
role responsibilities maintaining	0	3	0.131674465
time permanent apprenticeship	0	3	0.131674465
work pressure willing	0.5	3	0.131674465
business application projects	0.5	3	0.131661084
0141 370 9917	0	3	0.131660351
email scott bentley	0	3	0.131660351
message directly linkedin	0	3	0.131660351
scott bentley uk	0	3	0.131660351
seeking experienced developer	0	3	0.131660351
django enterprise java	0.5	3	0.131625857
enterprise java sql	0.5	3	0.131625857
javascript django enterprise	0.5	3	0.131625857
php mysql html	0.5	3	0.131619179
electrical development engineer	1	3	0.131489571
development operations devops	0.5	3	0.131367182
software engineer development	0.5	3	0.131367182
critical care department	0	3	0.131353706
place job requisition	0	3	0.131085567
dan butler searchability	0	3	0.13108335
higher electronics engineer	0.5	3	0.131013045
win 000 vouchers	0	3	0.130946655
html css exciting	0.5	3	0.130927319
technology developing new	0	3	0.130927319
technology information apply	0	3	0.130927319
build global compliance	0	3	0.130811519
boyall acting employment	0	3	0.130719638
junior systems engineer	0.5	3	0.130702838
environment company benefits	0	3	0.130674726
plus contact tommy	0	3	0.130674726
working exciting company	0	3	0.130674726
given opportunity grow	0	3	0.130582377
sound range projects	0	3	0.130421008
work sound range	0	3	0.130421008
croydon health services	0	3	0.130407372
specialist palliative care	0	3	0.130395407
cornwall healthcare community	0	3	0.130309316
systems quickly effectively	0	3	0.130309316
department role involve	0	3	0.130130606
retail year preferred	0	3	0.130130606
generation nuclear operations	0.5	3	0.130116621
nuclear site services	0.5	3	0.130116621
bbc global news	0	3	0.130086472
oncology service manager	1	3	0.130043669
service manager oncology	0.5	3	0.130043669
manage portfolio new	0.5	3	0.129981988
design build scale	0.5	3	0.129919113
applicants previous experience	0	3	0.129914634
hour contract currently	0	3	0.129914634
hour experience project	0	3	0.129914634
successful applicant tasked	0	3	0.129914634
providing clinical services	1	3	0.12984708
online store mobile	0.5	3	0.129772407
free breakfast drinks	0	3	0.129743934
advanced manufacturing engineering	0	3	0.129743129
knowledge systems environments	0.5	3	0.129694739
drive improvements performance	0.5	3	0.129687585
ensuring project delivery	1	3	0.129668295
euromoney institutional investor	0	3	0.129656568
data acquisition software	1	3	0.129652328
contract salary 75	0	3	0.129647489
good fault finding	0.5	3	0.129647489
experience manager aem	1	3	0.129538094
